City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,La Asuncion,VE,78.19,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
174,Garowe,SO,76.39,scattered clouds,8.4054,48.4845,Curubo Hotel
180,Finschhafen,PG,77.88,overcast clouds,-6.6024,147.8681,Cossam Guest House
181,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
188,Luganville,VU,79.52,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
191,Mumford,GH,75.58,overcast clouds,5.2618,-0.759,Spanish Villa
194,Xichang,CN,73.42,broken clouds,27.8964,102.2634,Xichang ibis Hotel
195,Batitang,PH,86.32,overcast clouds,15.4045,120.8079,BALAY BANTOG RESORT
196,Bengkulu,ID,81.3,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
198,Sao Filipe,CV,74.97,few clouds,14.8961,-24.4956,Hotel Xaguate
199,Swan River,CA,71.49,clear sky,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
200,Lengyeltoti,HU,73.42,scattered clouds,46.6701,17.644,Servus Guesthouse
201,Aswan,EG,87.08,few clouds,24.0934,32.907,Nuba Nile
205,Saint Anthony,US,84.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
207,Half Moon Bay,US,84.74,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
209,La Orilla,MX,81.72,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
211,Ermoupolis,GR,77.9,clear sky,37.4423,24.9425,Ploes
213,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
214,Banjar,ID,80.46,clear sky,-8.19,114.9675,The Hamsa Resort
216,Lahaina,US,85.24,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
218,Hithadhoo,MV,80.89,overcast clouds,-0.6,73.0833,Scoop Guest House
221,Kourou,GF,82.11,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
223,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
224,Spearfish,US,89.82,clear sky,44.4908,-103.8594,Travelodge by Wyndham Spearfish
226,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
227,Harper,LR,75.45,overcast clouds,4.375,-7.7169,Screensaver
231,Honiara,SB,84.42,overcast clouds,-9.4333,159.95,Heritage Park Hotel
234,Khatanga,RU,70.0,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
235,Kumluca,TR,84.87,clear sky,36.3703,30.2869,TurkuazKöy
237,Lithakia,GR,77.59,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
239,Hami,CN,89.04,clear sky,42.8,93.45,Laoyutang Resort
240,Nabire,ID,86.68,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
241,Salinas,US,84.15,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
244,Lodwar,KE,77.7,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
249,Kampong Chhnang,KH,86.18,broken clouds,12.1667,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
251,Pauini,BR,78.8,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
252,Touros,BR,72.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
254,Sena Madureira,BR,76.93,scattered clouds,-9.0656,-68.6569,Hotel Central
257,Acarau,BR,78.4,clear sky,-2.8856,-40.12,castelo pizzaria
261,Nouadhibou,MR,70.2,clear sky,20.931,-17.0347,El Medina
263,Shingu,JP,85.19,overcast clouds,33.7333,135.9833,Shingu UI Hotel
268,Alofi,NU,80.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
271,Cikupa,ID,86.34,clear sky,-6.2364,106.5083,Amaris Hotel Citra Raya - Tangerang
272,Tabuk,PH,85.82,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
278,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
281,Dingle,PH,87.57,light rain,10.9995,122.6711,SEGAYA PROPERTY
282,Ambon,ID,82.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
286,Akyab,MM,79.86,light rain,20.15,92.9,Hotel Memory
288,Bhasawar,IN,85.37,overcast clouds,27.0333,77.0333,Babeli Tent House बबली टेंट हाउस
289,Alirajpur,IN,75.88,very heavy rain,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
292,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
293,Ribeira Grande,PT,70.97,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
294,Tondano,ID,84.29,overcast clouds,1.3038,124.9112,Villa Bella
295,Rodrigues Alves,BR,75.51,clear sky,-7.738,-72.6509,Pousada Aconchego
296,Dhidhdhoo,MV,81.66,overcast clouds,6.8833,73.1,Dhidhoo beach
297,Balkhash,KZ,72.21,clear sky,46.844,74.9804,Family
298,Sao Joao Da Barra,BR,70.54,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
299,Fortuna,US,81.19,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
300,Kudahuvadhoo,MV,81.18,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
303,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
309,Pacific Grove,US,77.58,clear sky,36.6177,-121.9166,Lovers Point Inn
310,Mahon,ES,73.96,clear sky,39.8885,4.2658,ARTIEM Capri
312,Virginia Beach,US,77.02,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
313,Krabi,TH,88.0,scattered clouds,8.0726,98.9105,Tharapark View Hotel
314,Mundra,IN,82.65,overcast clouds,22.85,69.7333,Hotel Bansidhar Palace
315,Anzio,IT,80.73,scattered clouds,41.4853,12.6179,Beauty Hotel & SPA
316,Nova Olimpia,BR,76.98,clear sky,-14.7972,-57.2881,Motel glamour
317,Waddan,LY,74.61,clear sky,29.1614,16.139,محل الشريف محمد العايب
318,Tutoia,BR,79.38,scattered clouds,-2.7619,-42.2744,Pousada Guará's
319,Berbera,SO,87.89,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
321,Nyurba,RU,82.2,clear sky,63.2842,118.3319,Gostinitsa Alrosa
322,Mujiayingzi,CN,73.51,overcast clouds,42.1167,118.7833,Jinjiang Hotel
323,Mastic Beach,US,78.13,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
326,Gorontalo,ID,86.14,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
327,Manaure,CO,82.33,light rain,11.7751,-72.4445,Hotel Palaaima
328,Airai,TL,75.22,broken clouds,-8.9266,125.4092,Juvinal Martin
329,Olinda,BR,71.33,mist,-8.0089,-34.8553,Hotel Albergue de Olinda
332,Astoria,US,77.02,few clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
334,Guerrero Negro,MX,70.48,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
336,Jeremie,HT,81.43,overcast clouds,18.65,-74.1167,Auberge’Inn
338,Nautla,MX,80.13,clear sky,20.2167,-96.7833,Casa Blanca
341,Arraial Do Cabo,BR,70.05,clear sky,-22.9661,-42.0278,Pousada Porto Praia
343,Portland,US,88.45,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
345,Hamilton,US,78.37,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
346,Traverse City,US,75.38,scattered clouds,44.7631,-85.6206,Bayshore Resort
348,Taksimo,RU,75.0,clear sky,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
353,Karratha,AU,75.31,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
354,Tyup,KG,77.07,clear sky,42.7276,78.3648,"Yurtochnyy Gorodok ""Ybrayym-Nur"""
357,Hervey Bay,AU,71.71,clear sky,-25.2986,152.8535,Shelly Bay Resort
358,Emerald,AU,70.34,clear sky,-23.5333,148.1667,The Irish Village
360,La Mana,EC,82.89,broken clouds,-0.9333,-79.2167,Hotel Somagg
361,Noumea,NC,77.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
362,Ixtapa,MX,85.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
363,Marsa Matruh,EG,77.2,scattered clouds,31.3525,27.2453,Beau Site
364,Camacha,PT,70.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
365,Escanaba,US,75.63,overcast clouds,45.7453,-87.0646,Sunset Lodge
366,Isla Vista,US,79.68,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
368,Alibag,IN,84.27,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
369,Wangqing,CN,88.9,scattered clouds,43.3218,129.7634,Jianan Fashion Hotel
370,Pakxe,LA,80.74,broken clouds,15.1167,105.7833,Champasak Palace Hotel
372,Kita,ML,76.08,moderate rain,13.0349,-9.4895,Hôtel Chat Rouge
373,High Prairie,CA,70.9,few clouds,55.4334,-116.4858,Royal Star Motor Inn
