City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Slave Lake,CA,55.2834,-114.769,67.98,64,75,6.91,broken clouds
80,Cairns,AU,-16.9167,145.7667,71.55,77,90,6.91,overcast clouds
81,Iquitos,PE,-3.7481,-73.2472,86.04,66,75,4.61,broken clouds
82,Bethel,US,41.3712,-73.414,89.46,51,1,5.75,haze
83,Zharkent,KZ,44.1628,80.0,76.48,24,0,5.66,clear sky
84,Bembereke,BJ,10.2283,2.6634,74.17,80,93,6.98,overcast clouds
85,Mankera,PK,31.3866,71.4407,101.44,36,95,17.22,overcast clouds
86,Meaford,CA,44.6001,-80.583,86.61,48,3,9.06,clear sky
87,Saint-Philippe,RE,-21.3585,55.7679,67.55,80,83,10.74,light rain
88,Punta Arenas,CL,-53.15,-70.9167,42.91,75,0,14.97,clear sky
89,Westport,US,41.1415,-73.3579,91.27,43,20,1.01,few clouds
90,Ishigaki,JP,24.3448,124.1572,83.12,87,100,4.27,overcast clouds
91,Barrancabermeja,CO,7.0653,-73.8547,88.43,57,93,0.67,overcast clouds
92,Victoria,HK,22.2855,114.1577,87.33,85,94,1.01,overcast clouds
93,Alice Springs,AU,-23.7,133.8833,63.95,19,43,12.66,scattered clouds
94,Tuatapere,NZ,-46.1333,167.6833,42.82,90,59,4.81,broken clouds
95,Kismayo,SO,-0.3582,42.5454,76.14,79,98,17.81,overcast clouds
96,Narsaq,GL,60.9167,-46.05,57.65,62,20,4.7,few clouds
97,Georgetown,MY,5.4112,100.3354,83.89,89,20,0.0,few clouds
98,Tevriz,RU,57.509,72.4042,51.64,80,79,5.59,broken clouds
99,Souillac,MU,-20.5167,57.5167,66.58,100,40,3.44,light intensity shower rain
100,Dubrovytsya,UA,51.5744,26.565,69.8,73,79,7.83,broken clouds
101,Umba,RU,66.6871,34.3429,47.95,76,5,3.09,clear sky
102,Norman Wells,CA,65.282,-126.8329,64.44,55,75,12.66,broken clouds
103,Carnarvon,AU,-24.8667,113.6333,69.87,81,75,14.97,broken clouds
104,Khani,GE,41.9563,42.9566,65.77,99,88,2.44,overcast clouds
105,Monrovia,LR,6.3005,-10.7969,77.02,80,94,13.02,overcast clouds
106,Kapaa,US,22.0752,-159.319,84.52,77,40,3.0,scattered clouds
107,Taltal,CL,-25.4,-70.4833,60.75,71,15,4.52,few clouds
108,Chapais,CA,49.7834,-74.8492,65.98,86,89,11.9,overcast clouds
109,Yar-Sale,RU,66.8333,70.8333,46.6,83,16,4.54,few clouds
110,Geraldton,AU,-28.7667,114.6,64.81,72,90,21.85,overcast clouds
111,San Patricio,US,28.017,-97.5169,96.03,39,5,12.39,clear sky
112,Saskylakh,RU,71.9167,114.0833,49.62,77,43,4.03,scattered clouds
113,Lebu,CL,-37.6167,-73.65,48.79,66,7,16.78,clear sky
114,Esqueda,MX,30.7167,-109.5833,86.74,33,33,0.89,scattered clouds
115,Brisbane,AU,-27.4679,153.0281,51.12,82,0,4.61,clear sky
116,Upernavik,GL,72.7868,-56.1549,46.83,67,100,4.12,overcast clouds
117,Jamestown,US,42.097,-79.2353,85.32,44,1,8.05,clear sky
118,Nome,US,64.5011,-165.4064,50.07,93,90,9.22,light rain
