City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jalu,LY,29.0331,21.5482,78.39,48,0,6.51,clear sky
80,Alyangula,AU,-13.8483,136.4192,78.35,71,65,2.77,broken clouds
81,Goderich,CA,43.7501,-81.7165,69.91,69,0,3.78,clear sky
82,Mount Gambier,AU,-37.8333,140.7667,56.19,56,100,15.77,overcast clouds
83,Salina Cruz,MX,16.1667,-95.2,82.65,75,92,11.72,overcast clouds
84,Klaksvik,FO,62.2266,-6.589,50.92,99,100,5.86,overcast clouds
85,Pringsewu,ID,-5.3582,104.9744,82.13,61,23,2.62,few clouds
86,Farmington,US,36.7281,-108.2187,72.28,70,90,3.44,overcast clouds
87,Dikson,RU,73.5069,80.5464,38.71,99,100,8.63,light rain
88,Lorengau,PG,-2.0226,147.2712,84.34,72,83,4.05,broken clouds
89,Nanchong,CN,30.7951,106.0847,83.07,66,3,4.99,clear sky
90,Geraldton,AU,-28.7667,114.6,65.12,63,90,20.71,overcast clouds
91,Cidreira,BR,-30.1811,-50.2056,62.28,98,100,8.41,overcast clouds
92,Dolores,AR,-36.3132,-57.6792,39.85,56,10,8.63,clear sky
93,Saint-Augustin,CA,51.226,-58.6502,58.95,82,100,8.55,overcast clouds
94,San Cristobal,VE,7.7669,-72.225,71.78,94,99,2.24,overcast clouds
95,Benemerito De Las Americas,MX,16.5167,-90.6439,77.18,80,68,2.51,broken clouds
96,Ushuaia,AR,-54.8,-68.3,33.28,94,100,4.09,light snow
97,Birao,CF,10.2849,22.7882,69.49,97,96,3.38,overcast clouds
98,Saint-Philippe,RE,-21.3585,55.7679,63.99,84,75,10.18,light rain
99,Jamestown,US,42.097,-79.2353,71.24,68,1,4.14,clear sky
100,Kemijarvi,FI,66.7131,27.4306,55.85,72,90,1.32,overcast clouds
101,New Norfolk,AU,-42.7826,147.0587,60.3,41,71,7.14,broken clouds
102,Kruisfontein,ZA,-34.0033,24.7314,67.89,27,13,18.14,few clouds
103,Watari,JP,38.035,140.8511,75.78,94,75,8.05,mist
104,Bara,NG,10.3744,10.7288,71.4,97,100,5.61,light rain
105,Bethel,US,41.3712,-73.414,75.76,84,1,3.44,haze
106,Puerto Ayora,EC,-0.7393,-90.3518,71.55,86,19,7.0,few clouds
107,Luderitz,NA,-26.6481,15.1594,58.64,69,0,4.9,clear sky
108,Leningradskiy,RU,69.3833,178.4167,40.98,82,80,8.88,broken clouds
